symbol,quantity
ANGELONE,2.0
BSE,2.0
IDEA,565.0
IOB,206.0
IRCON,45.0
IRFC,115.0
ITI,27.0
KALYANKJIL,19.0
MCX,2.0
NBCC,112.0
PFC,26.0
RECLTD,26.0
SOLARINDS,1.0
SWANENERGY,13.0
LIQUIDBEES,0.2814000000000001
