symbol,quantity
ANGELONE,2.0
BSE,2.0
IDEA,471.0
IOB,206.0
IRCON,42.0
IRFC,115.0
ITI,22.0
KALYANKJIL,20.0
MCX,2.0
NBCC,112.0
PFC,29.0
RECLTD,26.0
SOLARINDS,1.0
SWANENERGY,13.0
LIQUIDBEES,2.0
