symbol,r2,slope,trend,max_gap_up,annualised_slope,mul,atr,target_percent,included
ADANIPOWER,0.7496777132427056,0.006186854202128494,1,0.09306722689075621,4.67368831200571,3.5037599661536016,19.592857142857135,1.8457500000000002,1
AUROPHARMA,0.7884337979072034,0.004286747977752669,1,0.05839508518588879,2.9136206338972452,2.2971969820443983,17.949999999999996,4.2924999999999995,1
ASHOKLEY,0.7834585092734709,0.002771544392349974,1,0.04480457578646337,1.997562497928603,1.5650073368077342,3.32857142857143,5.508,1
ADANIPORTS,0.7159930295268777,0.002420129703450086,1,0.05032974661575842,1.829973482809839,1.3102482579108683,21.824999999999996,3.3000000000000003,1
ACC,0.6814420493794086,0.002394923670669992,1,0.04829325058184644,1.8185056690960202,1.2392062299568645,45.817857142857115,4.0485,1
ADANIENT,0.4135038627415383,0.0011848388142750314,1,0.05145658692464278,1.3445163558782225,0.5559627066748217,79.41785714285713,2.5193,1
ABFRL,0.3225296661975313,0.0009054272953854787,1,0.07033184744923224,1.253894629084203,0.40441821616540535,5.314285714285717,4.1283,1
APOLLOHOSP,0.4997787872714249,-0.001098095127980983,1,0.041874625673787184,0.7598193137439115,0.3797415751683384,77.19999999999995,4.985149999999999,1
AUBANK,0.5068404060473871,-0.0012964108374841977,1,0.027720956478803665,0.7230239176491969,0.36645773600329157,14.428571428571445,4.4094,1
DMART,0.456850237932799,-0.0013469292799332237,1,0.05745171869306447,0.7139378957733372,0.32616269755329097,61.07857142857136,3.7824000000000004,1
BAJAJFINSV,0.1395174292030118,-0.0008092806836181422,1,0.058048178689695536,0.816766454817673,0.11395315603541963,24.635714285714293,6.164,1
BAJAJ-AUTO,0.04635107653476267,-0.0002991792287557162,1,0.05721667315259233,0.927923487928995,0.043010252607400774,73.26071428571439,4.75955,1
BAJFINANCE,0.04295879252256829,-0.000361233620710331,1,0.07192826946679393,0.9136344614204406,0.03924863326962913,112.17142857142855,0.0,1
ADANIGREEN,0.02051823329825686,0.0003927794539123157,1,0.09998483546479299,1.1031564647996202,0.02263482170923889,33.04285714285714,3.0036000000000005,1
ABB,0.004699877399227725,7.902063544716978e-05,1,0.030515396932216367,1.0199507872828226,0.004793643653475063,82.56428571428562,4.45855,1
ABCAPITAL,0.00270271393031829,0.0001087181557069299,1,0.06096551724137937,1.027550753784585,0.0027771757363626573,4.342857142857135,4.2987,1
AXISBANK,0.0008965893646241119,-3.1135523457007136e-05,1,0.023196280236142362,0.9922462148459321,0.0008896374033193942,16.864285714285725,4.9015,1
IRFC,0.8013361297904659,0.01288150376646405,1,0.19641255605381172,24.52788707633367,19.65508210168681,3.878571428571429,1.9274999999999998,0
GLAND,0.9197144071008597,0.010867976844210626,1,0.19999255148784031,14.914534425157452,13.717112186019047,61.79285714285714,1.6923499999999998,0
RECLTD,0.9171440155467252,0.009698162474710646,1,0.10018326206475245,11.16584190843515,10.240685084862122,9.035714285714286,2.9716499999999995,0
ZEEL,0.8879835528804897,0.008826045127375273,1,0.1655314757481941,8.9964568476012,7.988705714868924,8.489285714285709,3.0486499999999994,0
POLYCAB,0.8870286633946864,0.00823208484067024,1,0.09480487833180547,7.764767477521435,6.887571317156369,115.46428571428578,0.0,0
ESCORTS,0.939268939620224,0.007192354429231613,1,0.06808629408287907,5.999362423035316,5.635014781481798,113.98928571428567,0.0,0
INDIANB,0.8793766815284059,0.0070397687165061505,1,0.1312301930279457,5.776374904711325,5.079609394969006,11.74642857142857,3.1131999999999995,0
SUNTV,0.9396828989808137,0.006520530759252705,1,0.04843173431734318,5.077611709935251,4.771344891490883,17.142857142857142,3.0997500000000002,0
BHEL,0.7762487760484799,0.007100814906797473,1,0.12288659793814438,5.8645790620065945,4.552372318922161,6.5892857142857135,2.1795,0
JSWENERGY,0.8145449058675756,0.006159374026520947,1,0.08045384218669409,4.641885557624607,3.781024234583394,14.160714285714278,2.76185,0
PFC,0.8571693434822591,0.005952224007156839,1,0.12231009748022806,4.408986638264639,3.7792481821433532,10.332142857142856,2.7459000000000002,0
LUPIN,0.9367359980508402,0.00558861457712095,1,0.05440414507772018,4.027976145057608,3.7731502543655147,20.41785714285712,4.514399999999999,0
ZOMATO,0.8976133243115776,0.005695117092734942,1,0.10225303292894292,4.136046194462576,3.7125701741178028,3.1035714285714247,3.1872,0
MPHASIS,0.8708250013242149,0.005754748467455917,1,0.07665695557174078,4.197811378534562,3.655559099271164,71.43928571428566,2.46615,0
BHARATFORG,0.9241575063725409,0.005419835098058179,1,0.06331769252001107,3.86244406817043,3.569506678543797,25.03571428571427,3.3162000000000003,0
CIPLA,0.8501131085893605,0.00499431025085941,1,0.09635002339728596,3.474567508447596,2.953775385609975,26.085714285714307,3.7337999999999996,0
NTPC,0.8759507482990864,0.004292039610401624,1,0.04720835224693589,2.9174611526871543,2.555552279829828,5.414285714285717,4.3245,0
IPCALAB,0.811451990209327,0.004399856825909306,1,0.03954482585187985,2.9968191373019906,2.4317748532610985,20.014285714285727,3.6114,0
BANKINDIA,0.8697364974474788,0.004087963751898332,1,0.050271739130434825,2.7729387616647645,2.4117260462066614,2.596428571428571,3.5340000000000003,0
COROMANDEL,0.9247259641322555,0.0035410420972497906,1,0.050995405819295604,2.419828916986652,2.237678628295593,26.16785714285717,3.3726000000000007,0
IDFCFIRSTB,0.8852971438514248,0.0035021782980784524,1,0.05406852248394001,2.396513536701938,2.1216265892435024,3.0035714285714263,3.14655,0
MFSL,0.7750587330454245,0.004030743135382861,1,0.08281625933898945,2.733711920133159,2.1187872973295807,29.30000000000001,2.8064999999999998,0
UNIONBANK,0.6582935172013891,0.004610397876501654,1,0.04403244495944377,3.1580370137069513,2.0789152932053203,2.664285714285714,3.2597,0
PEL,0.7553947602809357,0.004043258015889678,1,0.13315444245676802,2.7422438363450206,2.0714766253877204,35.80000000000002,2.1789,0
NMDC,0.7486163557341885,0.004072957596625505,1,0.06054449410808617,2.7625975807915126,2.0681257332922276,4.110714285714286,3.4176000000000006,0
POONAWALLA,0.6796601324466502,0.004211869420496377,-1,0.07078853046594975,2.8598125522473024,1.9437005780329943,14.435714285714287,2.3396999999999997,0
PNB,0.6964925335974945,0.003990026095624023,1,0.0594243268337975,2.706135934922736,1.8848034735735608,1.592857142857142,4.144699999999999,0
COLPAL,0.7608349229954846,0.0036263958495831605,1,0.06280526651093661,2.4718307796350323,1.8806551808814884,44.835714285714275,4.0308,0
JINDALSTEL,0.7876468262420343,0.003365745955635269,1,0.056169063319297725,2.3164217074189715,1.824522206086707,16.66785714285715,3.4915000000000003,0
LTTS,0.875235473210196,0.0029417310420242664,1,0.05412258346847891,2.0841334442089505,1.8241075212754165,78.59642857142853,4.6542,0
TRENT,0.7048357389925651,0.003808834787416668,1,0.060154371049834975,2.5867438540630783,1.8232295159630258,46.62142857142856,4.173100000000001,0
LT,0.9006388993753297,0.002788450941029983,1,0.04246552766027588,2.0059998323118005,1.806681481120396,50.99642857142856,2.9016,0
COFORGE,0.7897734454588856,0.003173311405170792,1,0.09724003175184709,2.207966088270815,1.7437929849900196,183.3607142857143,0.0,0
HDFCAMC,0.639268588740314,0.003936572973774477,1,0.11982926829268298,2.670354503009625,1.7070737545753056,71.01428571428563,2.5358,0
TATACOMM,0.7864965916854316,0.003089722823465449,1,0.06924231547347134,2.162445721810331,1.7007561899085684,47.800000000000004,3.7705,0
ONGC,0.8872756008604086,0.0025561445990369765,1,0.04364053976457074,1.8931096689486873,1.6797100190110956,3.3392857142857104,5.349049999999999,0
DRREDDY,0.7618963768209996,0.0031354926468283657,1,0.037654981044371226,2.1872538566592357,1.6664607885764298,89.17142857142842,5.5838,0
IDEA,0.5683468226691117,0.004246516635201312,1,0.10759493670886071,2.884586052574017,1.6394453176960777,0.6142857142857144,1.701,0
NHPC,0.8387010821013496,0.0026640257850486723,1,0.06170212765957444,1.9447256040419378,1.631043468500174,1.360714285714286,3.8543999999999996,0
OIL,0.7941203344308067,0.0028704115124425704,1,0.028957896742236703,2.0474086839264145,1.625888868796182,7.074999999999984,3.9389000000000007,0
MCDOWELL-N,0.8267209563561974,0.0026598928478144225,1,0.06563765960719964,1.9427226136628153,1.606089497102134,22.028571428571436,4.2208000000000006,0
TTML,0.6438571573372136,0.0034145972740041164,1,0.10436562073669858,2.344788470637442,1.5097088392616957,4.3500000000000005,2.0988,0
