symbol,quantity
ANGELONE,2.0
BSE,2.0
IDEA,526.0
IOB,331.0
IRCON,46.0
IRFC,153.0
ITI,26.0
KALYANKJIL,19.0
MCX,2.0
NBCC,132.0
PFC,27.0
RECLTD,28.0
SWANENERGY,13.0
LIQUIDBEES,-3.2605999999999993
