symbol,quantity
ANGELONE,3.0
BSE,5.0
COALINDIA,47.0
ITI,31.0
KALYANKJIL,39.0
MCX,4.0
NBCC,126.0
PCBL,48.0
PFC,30.0
PRESTIGE,7.0
RECLTD,27.0
SOLARINDS,1.0
SUZLON,292.0
SWANENERGY,21.0
WELCORP,26.0
LIQUIDBEES,-2.352849999999999
