symbol,quantity
ANGELONE,3.0
BSE,3.0
COALINDIA,48.0
IDEA,716.0
ITI,28.0
KALYANKJIL,36.0
MCX,3.0
NBCC,126.0
PFC,30.0
PRESTIGE,2.0
RECLTD,27.0
SOLARINDS,1.0
SUZLON,197.0
SWANENERGY,19.0
WELCORP,22.0
SOBHA,10.0
LIQUIDBEES,0.089
