symbol,quantity
PRESTIGE,4.0
ANGELONE,1.0
SWANENERGY,13.0
BSE,4.0
PFC,19.0
MCX,2.0
SOBHA,4.0
NLCINDIA,21.0
RECLTD,18.0
HINDPETRO,18.0
SUZLON,175.0
PCBL,33.0
BRIGADE,8.0
IOC,72.0
LIQUIDBEES,0.11784999999999672
