symbol,quantity
HINDCOPPER,20.0
SPARC,13.0
JBMA,3.0
HUDCO,41.0
IRFC,48.0
NATIONALUM,44.0
ENGINERSIN,24.0
SHYAMMETL,11.0
BDL,4.0
GLAXO,3.0
HFCL,66.0
SOBHA,4.0
CASTROLIND,32.0
OLECTRA,3.0
GSFC,19.0
GODREJIND,8.0
LIQUIDBEES,5.5159500000000135
