symbol,quantity
PRESTIGE,7.0
ANGELONE,3.0
BSE,6.0
MCX,4.0
SWANENERGY,19.0
PFC,29.0
SOBHA,7.0
RECLTD,25.0
NLCINDIA,32.0
SUZLON,269.0
HINDPETRO,26.0
PCBL,53.0
LIQUIDBEES,16.358199999999997
