symbol,quantity
IRFC,60.0
GLAND,6.0
RECLTD,23.0
PFC,29.0
JSWENERGY,13.0
POLYCAB,2.0
BHEL,51.0
ESCORTS,3.0
BSE,3.0
MAZDOCK,2.0
KALYANKJIL,27.0
COCHINSHIP,4.0
SUZLON,268.0
SJVN,59.0
APARINDS,1.0
LIQUIDBEES,4.898999999999997
