symbol,quantity
IRFC,93.0
RECLTD,42.0
GLAND,8.0
PFC,52.0
POLYCAB,4.0
JSWENERGY,24.0
BHEL,74.0
ESCORTS,5.0
LIQUIDBEES,0.20674999999998364
