symbol,rank,score,weight
AMBUJACEM,161,0.74,20.0
MAXHEALTH,163,0.34,14.000000000000002
PIIND,164,0.23,20.0
ITC,165,0.21,33.0
ASIANPAINT,166,0.15,33.0
DALBHARAT,167,0.07,18.0
NESTLEIND,168,0.04,23.0
SBIN,169,0.01,30.0
SHREECEM,170,0.0,26.0
BOSCHLTD,171,0.0,19.0
M&MFIN,172,-0.0,18.0
APOLLOTYRE,173,-0.02,22.0
CUMMINSIND,174,-0.05,22.0
NAVINFLUOR,176,-0.2,22.0
HINDPETRO,177,-0.24,17.0
HDFCBANK,178,-0.41,28.999999999999996
RAMCOCEM,179,-0.62,23.0
TATAELXSI,180,-1.42,28.999999999999996
SRF,181,-1.55,25.0
BPCL,182,-1.84,23.0
BRITANNIA,183,-2.36,32.0
IGL,184,-2.41,21.0
GODREJCP,185,-4.03,28.999999999999996
PIDILITIND,186,-4.58,30.0
BANDHANBNK,187,-4.62,19.0
FLUOROCHEM,188,-6.72,15.0
AUBANK,189,-7.69,22.0
ATGL,190,-9.11,22.0
EICHERMOT,191,-9.91,31.0
HINDUNILVR,192,-14.06,40.0
KOTAKBANK,193,-14.39,37.0
SBICARD,194,-15.33,25.0
GUJGASLTD,195,-15.95,28.000000000000004
UPL,196,-27.73,26.0
AWL,197,-38.22,23.0
VEDL,198,-39.94,22.0
