symbol,quantity
ANGELONE,2.0
BSE,2.0
IDEA,471.0
IRCON,42.0
ITI,22.0
KALYANKJIL,20.0
MCX,2.0
NBCC,112.0
PFC,29.0
RECLTD,26.0
SOLARINDS,1.0
SWANENERGY,13.0
SUZLON,198.0
PRESTIGE,8.0
WELCORP,19.0
COALINDIA,46.0
LIQUIDBEES,6.18615
