symbol,quantity
IRFC,90.0
GLAND,8.0
RECLTD,41.0
PFC,51.0
JSWENERGY,23.0
POLYCAB,3.0
BHEL,78.0
ESCORTS,5.0
LIQUIDBEES,4.881549999999999
